ID,Product,Region,Sales,Quantity,Discount,Profit,Month
1,Eraser,West,316,3,0.08,451,May
2,Sharpener,East,863,1,0.15,252,Mar
3,Notebook,West,287,5,0.09,-164,Jun
4,Sharpener,East,479,14,0.09,-41,Mar
5,Sharpener,West,592,7,0.01,-192,Mar
6,Pencil,North,140,9,0.18,32,Feb
7,Notebook,West,256,15,0.15,-102,May
8,Notebook,East,114,15,0.02,458,Jun
9,Notebook,East,912,10,0.08,7,Jan
10,Sharpener,South,164,13,0.27,-70,Apr
11,Eraser,North,956,19,0.07,203,Jan
12,Notebook,West,938,7,0.04,-49,May
13,Sharpener,South,620,17,0.15,-147,Apr
14,Pencil,West,443,4,0.3,-81,May
15,Eraser,West,228,5,0.07,472,Mar
16,Pencil,South,747,7,0.2,427,Apr
17,Eraser,South,571,13,0.23,386,Mar
18,Sharpener,South,162,15,0.07,424,Jan
19,Pen,South,238,11,0.22,219,Jan
20,Eraser,South,598,4,0.11,221,Apr
21,Pencil,West,692,13,0.19,-97,Apr
22,Sharpener,South,491,7,0.19,53,Jun
23,Eraser,North,774,19,0.16,26,May
24,Pen,East,518,2,0.03,-89,Jun
25,Pen,South,388,10,0.25,309,May
26,Notebook,South,478,13,0.1,272,Jun
27,Notebook,West,872,6,0.06,-102,Mar
28,Pencil,South,589,12,0.01,-48,Apr
29,Eraser,South,330,12,0.18,137,Jan
30,Eraser,South,140,11,0.2,-38,May
31,Notebook,West,127,7,0.0,480,May
32,Eraser,South,234,1,0.15,-40,Jan
33,Eraser,East,300,1,0.07,379,Jun
34,Pen,West,939,13,0.19,197,May
35,Notebook,East,879,9,0.05,76,Mar
36,Sharpener,West,132,3,0.21,303,Apr
37,Notebook,South,147,7,0.12,191,Jan
38,Sharpener,East,602,6,0.28,-66,Apr
39,Pen,West,506,8,0.04,-6,May
40,Pencil,North,673,9,0.1,200,May
41,Eraser,South,827,5,0.03,439,Jan
42,Pen,West,904,1,0.28,-168,Mar
43,Eraser,North,198,19,0.26,487,Feb
44,Pencil,West,783,10,0.08,259,Jan
45,Pencil,North,971,12,0.2,269,Feb
46,Pen,South,825,15,0.25,174,Jun
47,Pencil,East,646,9,0.17,-179,Feb
48,Sharpener,North,838,17,0.16,469,Mar
49,Pencil,West,712,17,0.07,-163,Jun
50,Eraser,South,561,12,0.03,29,Feb
